MC_no,MC_TEMPERATURE,PROD_TYPE_RHS,PROD_TYPE_LHS,STEP_NUMBER_RHS,STEP_NUMBER_LHS,Idle_Alarm
MC1,175.2,TYPE_6,TYPE_6,2,2,0
MC10,175.1,TYPE_6,TYPE_6,2,2,0
MC11,174.9,TYPE_3,TYPE_3,5,0,0
MC12,174.9,TYPE_3,TYPE_3,0,0,0
MC13,174.9,TYPE_2,TYPE_2,0,2,0
MC14,175.2,TYPE_7,TYPE_7,2,2,0
MC15,175.2,TYPE_7,TYPE_7,2,2,0
MC16,175.2,TYPE_3,TYPE_3,2,2,0
MC17,175.2,TYPE_3,TYPE_3,2,2,0
MC18,175.2,TYPE_3,TYPE_3,2,0,0
MC19,175.2,TYPE_7,TYPE_7,2,2,0
MC2,175.2,TYPE_6,TYPE_6,2,2,0
MC20,175.2,TYPE_7,TYPE_7,2,2,0
MC21,160,TYPE_5,TYPE_5,0,0,0
MC22,175.2,TYPE_5,TYPE_5,0,7,0
MC23,175.2,TYPE_5,TYPE_5,4,4,0
MC24,175.2,TYPE_5,TYPE_5,4,3,0
MC25,175.2,TYPE_5,TYPE_5,2,2,0
MC26,175.2,TYPE_5,TYPE_5,4,4,0
MC27,175.2,TYPE_5,TYPE_5,2,2,0
MC28,175.2,TYPE_2,TYPE_2,2,2,0
MC29,175.2,TYPE_3,TYPE_3,8,4,0
MC3,175.2,TYPE_6,TYPE_6,2,0,0
MC30,175.2,TYPE_3,TYPE_3,4,4,0
MC31,175.2,TYPE_1,TYPE_1,2,2,0
MC32,175.2,TYPE_3,TYPE_3,2,2,0
MC33,175.2,TYPE_1,TYPE_1,2,0,0
MC34,175.2,TYPE_3,TYPE_3,2,2,0
MC35,174.2,TYPE_7,TYPE_7,0,0,0
MC36,175.2,TYPE_7,TYPE_7,0,6,0
MC37,175.2,TYPE_5,TYPE_5,2,4,0
MC38,175.2,TYPE_7,TYPE_7,2,0,0
MC39,174.6,TYPE_7,TYPE_7,0,0,0
MC4,175,TYPE_6,TYPE_6,0,0,0
MC40,175.2,TYPE_1,TYPE_1,2,2,0
MC41,175.2,TYPE_3,TYPE_3,2,2,0
MC42,175.2,TYPE_7,TYPE_7,0,7,0
MC43,175.2,TYPE_5,TYPE_5,4,4,0
MC44,175.2,TYPE_1,TYPE_1,2,2,0
MC45,175.2,TYPE_1,TYPE_1,2,2,0
MC46,175.2,TYPE_5,TYPE_5,2,2,0
MC47,175.2,TYPE_5,TYPE_5,2,2,0
MC48,175.2,TYPE_5,TYPE_5,2,2,0
MC49,175.2,TYPE_7,TYPE_7,2,2,0
MC5,175,TYPE_6,TYPE_6,0,0,0
MC50,175.2,TYPE_7,TYPE_7,2,2,0
MC6,175.2,TYPE_6,TYPE_6,4,2,0
MC61_L,175.2,,TYPE_9,,2,0
MC61_R,175.2,TYPE_3,,2,,0
MC62_L,170.43,,TYPE_9,,0,0
MC62_R,170.43,TYPE_2,,0,,0
MC63_L,175.2,,TYPE_8,,1,0
MC63_R,169.67,TYPE_4,,0,,0
MC64_L,175.2,,TYPE_9,,2,0
MC64_R,175.2,TYPE_2,,2,,0
MC65_L,175.2,,TYPE_9,,4,0
MC65_R,175.2,TYPE_2,,4,,0
MC66_L,170.97,,TYPE_9,,0,0
MC66_R,169.67,TYPE_2,,0,,0
MC67_L,175,,TYPE_9,,0,0
MC67_R,175.2,TYPE_2,,2,,0
MC68_L,175.2,,TYPE_9,,2,0
MC68_R,175.2,TYPE_2,,2,,0
MC69_L,175.2,,TYPE_9,,2,0
MC69_R,175.2,TYPE_2,,2,,0
MC7,175.2,TYPE_6,TYPE_6,2,2,0
MC70_L,175.2,,TYPE_9,,2,0
MC70_R,175.2,TYPE_2,,2,,0
MC71_L,175.2,,TYPE_9,,2,0
MC71_R,175.2,TYPE_2,,2,,0
MC72_L,175.2,,TYPE_9,,2,0
MC72_R,175.2,TYPE_2,,2,,0
MC73_L,175.2,,TYPE_9,,2,0
MC73_R,175.2,TYPE_2,,2,,0
MC74_L,175.2,,TYPE_9,,2,0
MC74_R,175.2,TYPE_2,,4,,0
MC75_L,100.42,,TYPE_0,,0,1
MC75_R,102.33,TYPE_0,,0,,1
MC76_L,,,,,,
MC76_R,,,,,,
MC77_L,,,,,,
MC77_R,,,,,,
MC78_L,,,,,,
MC78_R,,,,,,
MC79_L,,,,,,
MC79_R,,,,,,
MC8,175.2,TYPE_6,TYPE_6,1,2,0
MC81_L,,,,,,
MC81_R,,,,,,
MC82_L,,,,,,
MC82_R,,,,,,
MC80_L,,,,,,
MC80_R,,,,,,
MC83_L,175.2,,TYPE_8,,4,0
MC83_R,170,TYPE_6,,0,,0
MC84_L,165,,TYPE_9,,0,0
MC84_R,169,TYPE_3,,0,,0
MC85_L,169.67,,TYPE_9,,0,0
MC85_R,170,TYPE_2,,0,,0
MC9,175.2,TYPE_6,TYPE_6,2,2,0
