MC_no,Time,Color,MC_TEMPERATURE,STEP_NUMBER_RHS,STEP_NUMBER_LHS,PROD_TYPE_RHS,PROD_TYPE_LHS,Time_to_cut_off,Idle_Alarm,Current Condition,Last Input Time,Last Change To,Input1,Input2,Input3,Time_log
MC1,0,green,175.2,2,2,TYPE_6,TYPE_6,,0,,,,,,,25-08-2024
MC10,0,green,175.1,2,2,TYPE_6,TYPE_6,,0,,,,,,,25-08-2024
MC11,0,green,174.9,5,0,TYPE_3,TYPE_3,,0,,,,,,,25-08-2024
MC12,25-08-2024,green,174.9,0,0,TYPE_3,TYPE_3,25-08-2024 12:23,0,,,,,,,25-08-2024
MC13,0,green,174.9,0,2,TYPE_2,TYPE_2,,0,,,,,,,25-08-2024
MC14,0,green,175.2,2,2,TYPE_7,TYPE_7,,0,,,,,,,25-08-2024
MC15,0,green,175.2,2,2,TYPE_7,TYPE_7,,0,,,,,,,25-08-2024
MC16,0,green,175.2,2,2,TYPE_3,TYPE_3,,0,,,,,,,25-08-2024
MC17,0,green,175.2,2,2,TYPE_3,TYPE_3,,0,,,,,,,25-08-2024
MC18,0,green,175.2,2,0,TYPE_3,TYPE_3,,0,,,,,,,25-08-2024
MC19,0,green,175.2,2,2,TYPE_7,TYPE_7,,0,,,,,,,25-08-2024
MC2,0,green,175.2,2,2,TYPE_6,TYPE_6,,0,,,,,,,25-08-2024
MC20,0,green,175.2,2,2,TYPE_7,TYPE_7,,0,,,,,,,25-08-2024
MC21,25-08-2024 11:58,green,160,0,0,TYPE_5,TYPE_5,25-08-2024 12:23,0,,,,,,,25-08-2024
MC22,0,green,175.2,0,7,TYPE_5,TYPE_5,,0,,,,,,,25-08-2024
MC23,0,green,175.2,4,4,TYPE_5,TYPE_5,,0,,,,,,,25-08-2024
MC24,0,green,175.2,4,3,TYPE_5,TYPE_5,,0,,,,,,,25-08-2024
MC25,0,green,175.2,2,2,TYPE_5,TYPE_5,,0,,,,,,,25-08-2024
MC26,0,green,175.2,4,4,TYPE_5,TYPE_5,,0,,,,,,,25-08-2024
MC27,0,green,175.2,2,2,TYPE_5,TYPE_5,,0,,,,,,,25-08-2024
MC28,0,green,175.2,2,2,TYPE_2,TYPE_2,,0,,,,,,,25-08-2024
